title,genre,description
Inception,Sci-Fi|Thriller,A thief enters dreams to steal and plant ideas.
Interstellar,Sci-Fi|Drama,Explorers travel through space to find a new home for humanity.
The Matrix,Sci-Fi|Action,A hacker discovers that reality is actually a computer simulation.
Avengers Endgame,Action|Superhero,Heroes unite to defeat a powerful enemy and save the universe.
Iron Man,Action|Superhero,A genius inventor builds a powerful armored suit.
The Dark Knight,Action|Crime|Drama,A superhero fights a dangerous criminal who creates chaos in a city.
Titanic,Romance|Drama,A young couple falls in love during a tragic journey on a famous ship.
The Notebook,Romance|Drama,A couple struggles to keep their love alive over many years.
La La Land,Romance|Musical,Two artists fall in love while trying to achieve their dreams.
Toy Story,Animation|Comedy,A group of toys comes to life when humans are not around.
Finding Nemo,Animation|Adventure,A fish searches the ocean for his missing son.
The Lion King,Animation|Drama,A young lion must become the king after facing a family tragedy.
Jurassic Park,Adventure|Sci-Fi,Scientists create dinosaurs in a theme park with dangerous consequences.
Avatar,Sci-Fi|Adventure,A marine travels to an alien world and becomes involved in a conflict.
Harry Potter,Fantasy|Adventure,A young wizard discovers his magical abilities and attends a wizard school.
The Lord of the Rings,Fantasy|Adventure,Heroes travel across a magical world to destroy a powerful ring.
Gladiator,Action|Drama,A Roman general seeks revenge after losing everything.
Rocky,Drama|Sports,A boxer gets an unexpected chance to fight for the championship.
The Social Network,Drama|Biography,A story about the creation and growth of a major social media platform.
The Pursuit of Happyness,Drama|Biography,A struggling father works hard to build a better life for his son.
